epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,822.162,1.62927,6.8503,1.08208,0.09576,0.04545,0.04043,0.01776,3.03832,9.15966,1.50554,0.000907848,0.000907848,0.000907848
25,854.84,2.08097,7.07905,1.06249,0.00182,0.18182,0.02373,0.0134,2.86912,8.66623,1.37752,0.000874842,0.000874842,0.000874842
26,887.929,1.88126,6.54545,1.06471,0.03275,0.09091,0.01863,0.00475,2.77182,8.14815,1.29879,0.000841835,0.000841835,0.000841835
27,920.645,1.81091,8.38965,1.05084,0.05234,0.04545,0.01435,0.00499,2.64317,7.82325,1.24314,0.000808828,0.000808828,0.000808828
28,953.067,2.01835,6.00149,1.02711,0.10491,0.13636,0.07707,0.03637,2.46729,6.9097,1.1302,0.000775822,0.000775822,0.000775822
29,986.784,1.44834,4.68666,1.05757,0.64135,0.13636,0.18944,0.06286,2.50068,6.54003,1.17801,0.000742815,0.000742815,0.000742815
30,1027.97,1.73791,5.16069,1.08129,0.79325,0.17568,0.19508,0.06276,2.5246,6.75847,1.1835,0.000709809,0.000709809,0.000709809
31,1063.37,1.52549,6.38811,0.97557,0.63229,0.13636,0.18723,0.07166,2.44529,6.60536,1.14948,0.000676802,0.000676802,0.000676802
32,1097.9,1.59914,5.34747,1.17523,0.50697,0.13636,0.30665,0.10605,2.52624,5.90136,1.24617,0.000643795,0.000643795,0.000643795
33,1131.81,1.71071,6.12053,0.9963,0.55443,0.171,0.32081,0.11647,2.49712,5.76223,1.2174,0.000610789,0.000610789,0.000610789
34,1167.38,1.46243,4.4228,0.9522,0.62013,0.22314,0.36064,0.12566,2.44019,5.89136,1.14953,0.000577782,0.000577782,0.000577782
35,1202.26,1.66329,5.54999,0.99131,0.63348,0.23653,0.37988,0.12494,2.48212,5.75338,1.14385,0.000544776,0.000544776,0.000544776
36,1236.16,1.6134,4.55795,1.03602,0.61719,0.22064,0.33133,0.13047,2.50165,5.14916,1.19276,0.000511769,0.000511769,0.000511769
37,1270.19,1.59758,5.10902,1.04201,0.56539,0.29665,0.31638,0.13624,2.48065,5.07041,1.19617,0.000478762,0.000478762,0.000478762
38,1305.01,1.33987,5.18844,0.98536,0.52783,0.35613,0.30184,0.13086,2.49722,4.85312,1.20935,0.000445756,0.000445756,0.000445756
39,1338.74,1.526,3.70064,0.97701,0.49719,0.31486,0.3041,0.13672,2.46534,4.75422,1.16732,0.000412749,0.000412749,0.000412749
40,1372.01,1.40248,4.91747,0.99659,0.52316,0.27273,0.31139,0.14012,2.34892,4.88206,1.11537,0.000379743,0.000379743,0.000379743
41,1405.94,1.60756,6.41437,0.97885,0.62795,0.27273,0.2666,0.13186,2.3258,5.02284,1.10141,0.000346736,0.000346736,0.000346736
42,1439.67,1.50628,7.4037,0.9551,0.62292,0.22551,0.28172,0.12944,2.33031,5.0881,1.11273,0.000313729,0.000313729,0.000313729
43,1472.98,1.52397,5.23215,1.02537,0.61588,0.21954,0.2499,0.11973,2.26937,5.11915,1.11291,0.000280723,0.000280723,0.000280723
44,1506.95,1.62352,6.35753,1.03656,0.57396,0.27273,0.30251,0.12493,2.13432,4.83762,1.10696,0.000247716,0.000247716,0.000247716
45,1540.63,1.46582,6.16043,0.93198,0.54622,0.27273,0.30913,0.13602,2.15049,4.69965,1.10693,0.00021471,0.00021471,0.00021471
46,1574.11,1.43173,6.07478,0.93829,0.55849,0.31818,0.32649,0.1396,2.16139,4.59917,1.1092,0.000181703,0.000181703,0.000181703
47,1609.24,1.5687,6.30539,0.97556,0.52507,0.31818,0.32863,0.15632,2.16427,4.53733,1.10737,0.000148696,0.000148696,0.000148696
48,1642.77,1.33197,5.63923,0.95307,0.53894,0.31818,0.33522,0.15325,2.19416,4.45886,1.11056,0.00011569,0.00011569,0.00011569
49,1676.96,1.42582,4.61399,0.95053,0.56161,0.31818,0.34761,0.15442,2.16455,4.38514,1.09558,8.26832e-05,8.26832e-05,8.26832e-05
50,1709.66,1.5597,5.78765,0.96514,0.59393,0.3332,0.34325,0.15405,2.15044,4.35036,1.07847,4.96766e-05,4.96766e-05,4.96766e-05
