epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.233,3.27835,35.0375,2.29213,0,0,0,0,2.22232,11.953,1.21062,6.668e-05,6.668e-05,6.668e-05
2,82.0783,2.18621,19.5973,1.37416,0,0,0,0,2.01888,10.1631,1.09837,0.000147059,0.000147059,0.000147059
3,117.231,1.61001,11.1293,1.04393,0,0,0,0,1.83688,9.33513,1.02559,0.000224138,0.000224138,0.000224138
4,150.978,2.0333,9.59958,1.1417,0.001,0.13636,0.00058,0.00026,2.10131,9.18552,1.05551,0.000297916,0.000297916,0.000297916
5,184.724,2.39884,17.2288,1.1611,0,0,0,0,2.21823,9.91024,1.07396,0.000368394,0.000368394,0.000368394
6,217.843,2.20163,11.4563,1.06762,0.00035,0.04545,0.00018,0.00013,2.1321,9.42346,1.02522,0.00043557,0.00043557,0.00043557
7,252.004,1.73352,8.13169,1.06234,0,0,0,0,2.11732,8.84797,1.05772,0.000499447,0.000499447,0.000499447
8,286.301,1.70865,11.9337,1.23108,0,0,0,0,2.17247,8.79367,1.07448,0.000560022,0.000560022,0.000560022
9,320.271,1.76938,9.14541,1.04771,0,0,0,0,2.41205,8.87602,1.17438,0.000617297,0.000617297,0.000617297
10,355.058,1.92885,10.0696,1.08715,0,0,0,0,2.36971,8.89337,1.18107,0.000671271,0.000671271,0.000671271
11,389.844,2.0362,7.80759,1.16276,0,0,0,0,2.40055,8.50816,1.1844,0.000721944,0.000721944,0.000721944
12,424.951,2.03731,7.73262,1.30535,0,0,0,0,2.34162,8.26581,1.16759,0.000769317,0.000769317,0.000769317
13,458.568,2.36084,15.9116,1.1003,0,0,0,0,2.46069,8.69186,1.17451,0.000813389,0.000813389,0.000813389
14,492.033,2.10942,7.87561,1.26959,0,0,0,0,2.62625,8.91268,1.28784,0.000854161,0.000854161,0.000854161
15,524.966,1.73905,6.73439,1.06816,0.00111,0.13636,0.00252,0.0007,2.6617,10.1271,1.35072,0.000891632,0.000891632,0.000891632
16,558.19,1.66693,8.0951,0.99943,0.00116,0.13636,0.07889,0.0339,2.66819,8.1195,1.34018,0.000925802,0.000925802,0.000925802
17,591.591,2.00259,12.915,1.10475,0.00258,0.31818,0.00433,0.00122,2.74302,12.6699,1.44944,0.000956671,0.000956671,0.000956671
18,624.896,2.10856,10.2344,1.06758,0.88347,0.13636,0.23865,0.06387,2.72718,7.68441,1.48966,0.00098424,0.00098424,0.00098424
19,658.272,2.02049,8.14287,1.09632,0.76348,0.13636,0.23264,0.0625,2.64222,7.35607,1.41439,0.00100851,0.00100851,0.00100851
20,691.118,2.47686,12.2697,1.13358,0.02554,0.04545,0.00625,0.00267,2.60646,8.03548,1.34482,0.00102948,0.00102948,0.00102948
21,723.847,1.98283,7.18287,1.02372,0.01824,0.09091,0.00426,0.00169,2.62132,8.37691,1.36415,0.00100687,0.00100687,0.00100687
22,757.099,2.09113,7.79788,1.0396,0.30191,0.09091,0.04587,0.01002,2.62007,7.85306,1.39019,0.000973861,0.000973861,0.000973861
23,789.343,1.85534,5.79803,1.17976,0.19872,0.04545,0.05885,0.02352,2.66436,7.88889,1.36538,0.000940855,0.000940855,0.000940855
