epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6405,3.27835,35.0375,2.29213,0,0,0,0,2.22232,11.953,1.21062,6.668e-05,6.668e-05,6.668e-05
2,93.6232,2.18565,19.5836,1.37289,0,0,0,0,2.01428,10.1642,1.09653,0.000148545,0.000148545,0.000148545
3,134.32,1.61982,11.0736,1.04415,0,0,0,0,1.84068,9.43729,1.02592,0.000228759,0.000228759,0.000228759
4,170.88,2.04074,9.48722,1.13592,0.00101,0.13636,0.00058,0.0003,2.12035,9.04271,1.07089,0.000307323,0.000307323,0.000307323
5,205.694,2.44108,16.8624,1.15875,0,0,0,0,2.05418,9.90904,1.04702,0.000384237,0.000384237,0.000384237
6,240.876,2.21865,12.2253,1.03326,0.00037,0.04545,0.00019,0.00012,2.16467,9.58532,1.09228,0.0004595,0.0004595,0.0004595
7,276.131,1.74466,8.18437,1.07593,0,0,0,0,2.20006,8.83831,1.10146,0.000533113,0.000533113,0.000533113
8,309.673,1.77578,12.3508,1.23137,0,0,0,0,2.31142,8.63098,1.14138,0.000605076,0.000605076,0.000605076
9,343.316,1.80992,9.30616,1.09859,0,0,0,0,2.42976,8.80267,1.22372,0.000675388,0.000675388,0.000675388
