epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1636.8,1.81057,4.64322,1.07557,0.92293,0.13636,0.21295,0.09128,2.29791,4.63331,1.09341,0.000973861,0.000973861,0.000973861
44,1670.57,1.46324,3.23544,1.03886,0.28633,0.13636,0.16836,0.07801,2.33198,4.95514,1.13091,0.000957358,0.000957358,0.000957358
45,1703.49,1.67213,4.13437,1.13798,0.45136,0.22727,0.2438,0.09094,2.3136,4.84194,1.12919,0.000940855,0.000940855,0.000940855
46,1736.13,1.70817,3.48374,1.10884,0.46775,0.22727,0.16315,0.0631,2.35488,4.76624,1.1152,0.000924352,0.000924352,0.000924352
47,1768.7,1.60254,3.52446,1.05043,0.40637,0.22727,0.20988,0.08763,2.37388,4.57918,1.12617,0.000907848,0.000907848,0.000907848
48,1801.35,1.71731,3.16171,1.01136,0.82659,0.21807,0.29562,0.12776,2.44028,4.09933,1.17964,0.000891345,0.000891345,0.000891345
49,1834.27,1.52388,3.25124,1.01802,0.58328,0.27273,0.30792,0.11243,2.51247,4.04772,1.1359,0.000874842,0.000874842,0.000874842
50,1867.53,1.54923,2.61474,1.21044,0.53288,0.31159,0.27901,0.09703,2.57625,4.11903,1.17176,0.000858338,0.000858338,0.000858338
51,1900.36,1.35204,2.53513,1.00389,0.40209,0.27273,0.23193,0.09118,2.6149,3.96708,1.22461,0.000841835,0.000841835,0.000841835
52,1933.25,1.56772,2.8342,0.98873,0.48315,0.27273,0.26059,0.10328,2.66262,3.65021,1.24012,0.000825332,0.000825332,0.000825332
53,1965.42,1.66816,3.03124,1.01303,0.4523,0.30104,0.28019,0.10036,2.75432,3.70039,1.23379,0.000808828,0.000808828,0.000808828
54,1997.74,1.73082,3.52782,1.06126,0.4912,0.27273,0.27243,0.09084,2.75924,3.75553,1.20883,0.000792325,0.000792325,0.000792325
55,2029.83,1.37104,2.94653,1.05077,0.45359,0.27273,0.26412,0.09383,2.62663,3.6361,1.16543,0.000775822,0.000775822,0.000775822
56,2063.45,2.04181,4.26073,1.04982,0.42199,0.22727,0.22596,0.08153,2.47407,3.64731,1.13349,0.000759318,0.000759318,0.000759318
57,2096.2,1.54636,2.24191,1.08365,0.55929,0.18182,0.22579,0.08692,2.51647,3.71239,1.12247,0.000742815,0.000742815,0.000742815
58,2128.77,1.4995,2.71786,1.05934,0.4556,0.18182,0.19381,0.07854,2.5136,3.79598,1.10801,0.000726312,0.000726312,0.000726312
59,2161.37,1.46777,2.92984,0.94912,0.3138,0.22727,0.22507,0.08805,2.47471,3.926,1.11804,0.000709809,0.000709809,0.000709809
60,2194.15,1.48426,2.3961,1.02657,0.5042,0.22727,0.24736,0.09532,2.24043,3.7444,1.07664,0.000693305,0.000693305,0.000693305
61,2226.88,1.70861,5.75657,0.93098,0.54199,0.22727,0.25217,0.09291,2.22563,3.70152,1.06721,0.000676802,0.000676802,0.000676802
62,2259.38,1.58267,2.26067,1.07284,0.53543,0.22727,0.25256,0.08264,2.24401,3.68838,1.07037,0.000660299,0.000660299,0.000660299
63,2291.88,1.37721,2.20244,1.06394,0.51551,0.19451,0.25249,0.09906,2.21137,3.5367,1.06652,0.000643795,0.000643795,0.000643795
64,2324.2,1.56616,3.18827,0.98221,0.58141,0.22727,0.27527,0.12016,2.29982,3.48677,1.08449,0.000627292,0.000627292,0.000627292
65,2357.19,1.48692,3.38289,0.94529,0.61334,0.22727,0.27401,0.12113,2.22628,3.58849,1.07652,0.000610789,0.000610789,0.000610789
66,2389.93,1.41923,2.78103,0.97326,0.59314,0.22727,0.29725,0.12133,2.12263,3.55073,1.07914,0.000594286,0.000594286,0.000594286
67,2422.34,1.40082,2.31336,1.07827,0.57171,0.24379,0.33247,0.11115,2.11976,3.41161,1.07295,0.000577782,0.000577782,0.000577782
68,2454.56,1.35792,2.22329,0.97567,0.49295,0.31818,0.34445,0.11574,2.1671,3.20262,1.07496,0.000561279,0.000561279,0.000561279
69,2487.32,1.46906,1.85417,0.96455,0.47373,0.31818,0.34414,0.11474,2.25453,3.06383,1.09244,0.000544776,0.000544776,0.000544776
70,2519.43,1.75053,2.78041,0.94214,0.46369,0.35416,0.31053,0.12023,2.29515,2.98605,1.07855,0.000528272,0.000528272,0.000528272
71,2551.45,1.25054,1.97922,0.9247,0.4441,0.31818,0.30356,0.12164,2.3508,2.93935,1.0799,0.000511769,0.000511769,0.000511769
72,2584.01,1.65052,5.11059,1.01348,0.58881,0.31818,0.31048,0.12443,2.47223,3.01987,1.08885,0.000495266,0.000495266,0.000495266
73,2616.28,1.28614,1.97822,0.97722,0.62634,0.31818,0.33105,0.12508,2.55896,3.09299,1.10556,0.000478762,0.000478762,0.000478762
74,2649.35,1.29145,1.90513,0.95699,0.63387,0.31818,0.33846,0.11429,2.60667,3.14151,1.1192,0.000462259,0.000462259,0.000462259
75,2681.89,1.32258,2.01871,0.95886,0.53526,0.31818,0.30855,0.11422,2.61025,3.12827,1.12102,0.000445756,0.000445756,0.000445756
76,2714.32,1.21247,1.81293,0.95595,0.71795,0.27273,0.30974,0.11137,2.55239,3.04685,1.11764,0.000429253,0.000429253,0.000429253
77,2746.96,1.31884,2.55521,1.02495,0.72382,0.27273,0.3174,0.126,2.53987,2.95664,1.11918,0.000412749,0.000412749,0.000412749
78,2779.93,1.17331,1.74624,0.9224,0.58195,0.31652,0.33344,0.12619,2.53769,2.89658,1.1109,0.000396246,0.000396246,0.000396246
79,2812.19,1.14118,2.46188,0.88947,0.69076,0.27273,0.33019,0.12374,2.5247,2.88471,1.1056,0.000379743,0.000379743,0.000379743
80,2844.91,1.25593,1.86786,0.89373,0.69541,0.31818,0.38072,0.12202,2.48698,2.94063,1.09542,0.000363239,0.000363239,0.000363239
81,2877.87,1.30102,1.73396,0.95909,0.66384,0.31818,0.38475,0.11665,2.45506,2.95436,1.08088,0.000346736,0.000346736,0.000346736
82,2910.8,1.33634,2.14277,1.00815,0.66805,0.31818,0.39246,0.11246,2.43703,2.9756,1.07206,0.000330233,0.000330233,0.000330233
83,2943.15,1.29539,2.14628,0.93988,0.58496,0.27273,0.2944,0.10087,2.41789,2.97319,1.07035,0.000313729,0.000313729,0.000313729
84,2976.03,1.21145,2.16335,0.90497,0.69689,0.31818,0.33502,0.11342,2.38339,2.97291,1.05571,0.000297226,0.000297226,0.000297226
85,3008.8,1.13302,1.71617,0.9123,0.69792,0.31818,0.32859,0.11335,2.37973,2.96645,1.05016,0.000280723,0.000280723,0.000280723
86,3041.02,1.29552,2.06705,1.0085,0.71427,0.31818,0.33462,0.11983,2.35959,2.95175,1.0419,0.00026422,0.00026422,0.00026422
87,3073.73,1.10426,1.53063,0.89944,0.79649,0.31818,0.32806,0.12779,2.35701,2.92161,1.03821,0.000247716,0.000247716,0.000247716
88,3106.15,1.17373,1.77665,0.9824,0.68333,0.31818,0.32268,0.12356,2.35518,2.88425,1.04156,0.000231213,0.000231213,0.000231213
89,3138.35,1.18782,1.94415,0.90323,0.68442,0.31818,0.32174,0.12816,2.33749,2.90669,1.03728,0.00021471,0.00021471,0.00021471
90,3170.71,1.04168,1.57555,0.95421,0.66152,0.31818,0.31952,0.12858,2.33173,2.9237,1.03391,0.000198206,0.000198206,0.000198206
91,3203.43,1.1216,2.0655,0.93747,0.67219,0.31818,0.32628,0.13569,2.33106,2.96862,1.03617,0.000181703,0.000181703,0.000181703
92,3235.22,1.04046,2.17134,0.92034,0.69848,0.31611,0.33297,0.14248,2.31685,3.03843,1.04323,0.0001652,0.0001652,0.0001652
93,3268.27,1.13566,2.52578,0.95069,0.69112,0.30608,0.32654,0.14798,2.30917,3.11692,1.04307,0.000148696,0.000148696,0.000148696
94,3300.68,1.24257,2.16118,0.95436,0.61701,0.27273,0.31565,0.13888,2.3221,3.21029,1.04534,0.000132193,0.000132193,0.000132193
95,3333.24,1.15983,2.25284,0.94398,0.6096,0.27273,0.31633,0.13532,2.35378,3.22764,1.0444,0.00011569,0.00011569,0.00011569
96,3365.1,1.16611,2.03519,0.93709,0.58688,0.31818,0.31685,0.13766,2.30299,3.14276,1.03257,9.91865e-05,9.91865e-05,9.91865e-05
97,3397.47,1.08414,2.29254,0.93774,0.60248,0.34534,0.32065,0.14434,2.28513,3.12398,1.03162,8.26832e-05,8.26832e-05,8.26832e-05
98,3430.09,1.28935,2.2913,0.9971,0.55403,0.36364,0.3137,0.1488,2.27955,3.11719,1.03069,6.61799e-05,6.61799e-05,6.61799e-05
99,3462.57,1.06458,1.83416,0.91229,0.61364,0.36116,0.31316,0.1408,2.26912,3.09171,1.02854,4.96766e-05,4.96766e-05,4.96766e-05
100,3494.45,0.95918,1.94287,0.94796,0.59251,0.36364,0.29887,0.13353,2.25162,3.06357,1.02578,3.31733e-05,3.31733e-05,3.31733e-05
